title,img,description,price_dollar,price_som
Kia Sorento,https://im.mashina.kg/tachka/images//4/5/3/453f643b6e86d57d3e873f256c897299_240x180.jpg,"2017г.,2.2л.,автоматвнедорожник5дв.,дизельрульслева,57000км",$ 29 800,2 617 334 сом
Toyota RAV4,https://im.mashina.kg/tachka/images//1/a/d/1add4b65949b7618fd474b638d9dc158_240x180.jpg,"2017г.,2.5л.,автоматвнедорожник5дв.,бензинрульслева,145000км",$ 23 000,2 020 090 сом
Geely Monjaro,https://im.mashina.kg/tachka/images//0/3/4/034d0ec7b7f814bcf27d892a026222e1_240x180.jpg,"2023г.,2л.,автоматвнедорожник5дв.,бензинрульслева,60км",$ 38 600,3 390 238 сом
Toyota Avalon,https://im.mashina.kg/tachka/images//1/7/0/17000cf8ef1a27f63635e1ab6c4f8074_240x180.jpg,"2014г.,2.5л.,вариаторседан,гибридрульслева,158000км",$ 20 000,1 756 600 сом
Geely Monjaro,https://im.mashina.kg/tachka/images//e/8/7/e874c443dffc3a57f7d4150b4995294a_240x180.jpg,"2023г.,2л.,автоматвнедорожник5дв.,бензинрульслева,50км",$ 38 000,3 337 540 сом
Lexus NX,https://im.mashina.kg/tachka/images//9/6/4/96414b60dd513ff12798c1491f152ee0_240x180.jpg,"2017г.,2л.,автоматвнедорожник5дв.,бензинрульслева,84000км",$ 29 000,2 547 070 сом
Toyota Camry,https://im.mashina.kg/tachka/images//4/6/9/4690c516fce230bfa6a87fdf35869aa7_240x180.jpg,"2020г.,2.5л.,автоматседан,бензинрульслева,21500км",$ 33 500,2 942 305 сом
Lexus LS,https://im.mashina.kg/tachka/images//0/c/6/0c6dca85823989d7a955e1a5ac569352_240x180.jpg,"2018г.,3.4л.,автоматседан,бензинрульслева,71000км",$ 69 500,6 104 185 сом
Toyota Camry,https://im.mashina.kg/tachka/images//4/4/3/44393106e0ecd18d97388dce7cee77f3_240x180.jpg,"2017г.,2.5л.,автоматседан,бензинрульслева,89000км",$ 23 500,2 064 005 сом
Lexus LX,https://im.mashina.kg/tachka/images//8/1/6/81632426f506d603c65b21c818aee164_240x180.jpg,"2015г.,5.7л.,автоматвнедорожник5дв.,бензинрульслева,92500км",$ 69 000,6 060 270 сом
Kia K5 III Седан,https://im.mashina.kg/tachka/images//7/9/3/793ffde4b0fe3bbfd970ae03e12fe5b0_240x180.jpg,"2019г.,2л.,автоматседан,бензинрульслева,83000км",$ 28 500,2 503 155 сом
Toyota Camry,https://im.mashina.kg/tachka/images//0/e/3/0e3e3cd4fa868aba9fb58183f3d6953d_240x180.jpg,"2019г.,2.5л.,автоматседан,бензинрульслева,103000км",$ 23 500,2 064 005 сом
BMW X7,https://im.mashina.kg/tachka/images//7/6/a/76a4810b71b39f9d39eb19ed70d534e5_240x180.jpg,"2021г.,3л.,автоматвнедорожник5дв.,бензинрульслева,17000км",$ 135 000,11 857 050 сом
Toyota Land Cruiser,https://im.mashina.kg/tachka/images//7/0/3/7039059b6e9f3ed527fd5a6b3c63eedd_240x180.jpg,"2012г.,4.5л.,автоматвнедорожник5дв.,дизельрульслева,170000км",$ 42 000,3 688 860 сом
Mercedes-Benz E-класс AMG,https://im.mashina.kg/tachka/images//d/3/3/d33b014aba59993c4cac636dd9270587_240x180.jpg,"2013г.,5.5л.,автоматседан,бензинрульслева,110000км",$ 50 000,4 391 500 сом
Kia Mohave (Borrego),https://im.mashina.kg/tachka/images//2/1/9/219c3aa012b2cf34189af0a6ac5da627_240x180.jpg,"2022г.,3л.,автоматвнедорожник5дв.,дизельрульслева,33000км",$ 58 000,5 094 140 сом
Lexus GS,https://im.mashina.kg/tachka/images//e/6/6/e66da349ff02abb025f3b4dc7c893bdd_240x180.jpg,"2016г.,2л.,автоматседан,бензинрульслева,65000км",$ 36 000,3 161 880 сом
Mercedes-Benz GLC AMG,https://im.mashina.kg/tachka/images//4/c/1/4c15ec63960776b51e7a6e319cdfae25_240x180.jpg,"2018г.,4л.,автоматвнедорожник5дв.,бензинрульслева,20000км",$ 75 000,6 587 250 сом
Kia Carnival,https://im.mashina.kg/tachka/images//a/0/d/a0d4f2c0457b68895d48679242091c48_240x180.jpg,"2022г.,3.5л.,автоматминивэн,бензинрульслева,8000км",$ 52 000,4 567 160 сом
Toyota Highlander,https://im.mashina.kg/tachka/images//e/e/c/eec62766767f2bb5051057828e3ea576_240x180.jpg,"2008г.,3.3л.,вариаторвнедорожник5дв.,гибридрульслева,189000км",$ 19 800,1 739 034 сом
